20:25:50.448 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
20:27:17.532 [main] INFO  com.hengzhi.HengzhiOffcialApplicationTests - Starting HengzhiOffcialApplicationTests using Java 1.8.0_241 on LAPTOP-7TC5A5HO with PID 18332 (started by 33896 in E:\document\git_repository\hengzhi-official)
20:27:17.548 [main] INFO  com.hengzhi.HengzhiOffcialApplicationTests - No active profile set, falling back to default profiles: default
20:27:21.850 [main] INFO  org.apache.shiro.cache.ehcache.EhCacheManager - Using existing EHCache named [authenticationCache]
20:27:21.866 [main] INFO  org.apache.shiro.cache.ehcache.EhCacheManager - Using existing EHCache named [authorizationCache]
20:27:25.840 [main] INFO  com.hengzhi.HengzhiOffcialApplicationTests - Started HengzhiOffcialApplicationTests in 8.969 seconds (JVM running for 13.418)
20:27:26.325 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
20:27:27.565 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
20:27:27.581 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
20:30:22.163 [main] INFO  com.hengzhi.HengzhiOffcialApplicationTests - Starting HengzhiOffcialApplicationTests using Java 1.8.0_241 on LAPTOP-7TC5A5HO with PID 8848 (started by 33896 in E:\document\git_repository\hengzhi-official)
20:30:22.195 [main] INFO  com.hengzhi.HengzhiOffcialApplicationTests - No active profile set, falling back to default profiles: default
20:30:26.957 [main] INFO  org.apache.shiro.cache.ehcache.EhCacheManager - Using existing EHCache named [authenticationCache]
20:30:26.957 [main] INFO  org.apache.shiro.cache.ehcache.EhCacheManager - Using existing EHCache named [authorizationCache]
20:30:30.547 [main] INFO  com.hengzhi.HengzhiOffcialApplicationTests - Started HengzhiOffcialApplicationTests in 9.446 seconds (JVM running for 13.56)
20:30:31.047 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
20:30:32.268 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
20:30:32.283 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
20:30:42.561 [main] INFO  com.hengzhi.HengzhiOffcialApplication - Starting HengzhiOffcialApplication using Java 1.8.0_241 on LAPTOP-7TC5A5HO with PID 7488 (E:\document\git_repository\hengzhi-official\target\classes started by 33896 in E:\document\git_repository\hengzhi-official)
20:30:42.577 [main] INFO  com.hengzhi.HengzhiOffcialApplication - No active profile set, falling back to default profiles: default
20:30:45.777 [main] INFO  org.apache.shiro.cache.ehcache.EhCacheManager - Using existing EHCache named [authenticationCache]
20:30:45.777 [main] INFO  org.apache.shiro.cache.ehcache.EhCacheManager - Using existing EHCache named [authorizationCache]
20:30:46.509 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
20:30:46.509 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
20:30:46.509 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.45]
20:30:46.509 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.25] using APR version [1.7.0].
20:30:46.509 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
20:30:46.509 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
20:30:46.603 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
20:30:47.112 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/hengzhi-official] - Initializing Spring embedded WebApplicationContext
20:30:50.065 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
20:30:50.143 [main] INFO  com.hengzhi.HengzhiOffcialApplication - Started HengzhiOffcialApplication in 8.785 seconds (JVM running for 11.565)
20:31:40.831 [http-nio-8080-exec-2] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/hengzhi-official] - Initializing Spring DispatcherServlet 'dispatcherServlet'
20:31:41.506 [http-nio-8080-exec-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
